feature,importance
theoretical_time,0.640756974211458
distance,0.1318671067779681
avg_course_change,0.09736739024580955
avg_reported_speed,0.026524497194798154
sample_count,0.02299327079205199
bearing_cos,0.01545606639287745
bearing_sin,0.015338319137057296
hour,0.012152343143804655
bearing,0.01179420848454237
edge_betweenness,0.007912341664508405
node_degree_to,0.006313224802618118
node_degree_from,0.006107129673277498
waterway_type,0.0019502597298870893
is_peak_hour,0.0017419052026103252
is_weekend,0.0017249625467310856
